epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,588.581,0.65016,0.5251,0.92014,0.46706,0.8,0.70591,0.63532,0.58415,2.69397,0.79372,0.0005219,0.0005219,0.0005219
44,601.976,0.63445,0.5011,0.95014,0.52512,0.89044,0.6604,0.59716,0.56718,2.85145,0.7546,0.00050547,0.00050547,0.00050547
45,615.552,0.59575,0.45636,0.90038,0.52512,0.89044,0.6604,0.59716,0.56718,2.85145,0.7546,0.00048772,0.00048772,0.00048772
46,629.225,0.5856,0.49764,0.906,0.43686,0.8,0.62877,0.56917,0.57583,3.44898,0.73407,0.00046865,0.00046865,0.00046865
47,642.77,0.60637,0.49924,0.91711,0.43686,0.8,0.62877,0.56917,0.57583,3.44898,0.73407,0.00044826,0.00044826,0.00044826
48,656.356,0.64413,0.49229,0.88529,0.44395,0.96115,0.55864,0.50277,0.57382,2.94191,0.73475,0.00042655,0.00042655,0.00042655
49,670.388,0.56443,0.47149,0.92385,0.44395,0.96115,0.55864,0.50277,0.57382,2.94191,0.73475,0.00040352,0.00040352,0.00040352
50,684.256,0.62953,0.4879,0.93038,0.39113,0.8,0.52335,0.47102,0.58069,2.3009,0.73576,0.00037917,0.00037917,0.00037917
51,697.844,0.55273,0.51568,0.84684,0.39113,0.8,0.52335,0.47102,0.58069,2.3009,0.73576,0.00035,0.00035,0.00035
52,711.608,0.54113,0.58856,0.87987,0.37399,1,0.65192,0.57723,0.51145,1.73992,0.73232,0.000317,0.000317,0.000317
53,725.182,0.50367,0.53131,0.87492,0.37399,1,0.65192,0.57723,0.51145,1.73992,0.73232,0.000284,0.000284,0.000284
54,739.101,0.48853,0.52928,0.89432,0.40808,1,0.67833,0.62029,0.47164,1.55411,0.72563,0.000251,0.000251,0.000251
55,752.562,0.49274,0.49089,0.86591,0.40808,1,0.67833,0.62029,0.47164,1.55411,0.72563,0.000218,0.000218,0.000218
56,765.937,0.47527,0.49652,0.79472,0.48815,0.95734,0.4975,0.45023,0.44598,1.5675,0.71397,0.000185,0.000185,0.000185
57,779.911,0.51514,0.45073,0.86499,0.48815,0.95734,0.4975,0.45023,0.44598,1.5675,0.71397,0.000152,0.000152,0.000152
58,793.402,0.53707,0.47505,0.85898,0.48094,1,0.4975,0.43783,0.43229,1.56931,0.7066,0.000119,0.000119,0.000119
59,806.882,0.50261,0.46778,0.8478,0.48094,1,0.4975,0.43783,0.43229,1.56931,0.7066,8.6e-05,8.6e-05,8.6e-05
60,820.286,0.49117,0.43999,0.77474,0.48748,1,0.4975,0.43784,0.4216,1.53395,0.70375,5.3e-05,5.3e-05,5.3e-05
