epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7054,1.21148,6.66278,1.3984,0.97792,0.6,0.65515,0.56099,0.69997,5.31503,0.99844,4e-05,4e-05,4e-05
2,38.4403,0.62108,5.05303,1.02831,0.94295,0.8,0.90474,0.81078,0.53864,4.28209,0.76555,9.835e-05,9.835e-05,9.835e-05
3,56.3969,0.97071,6.39784,1.42971,0.82638,1,0.96773,0.93019,0.33905,4.22357,0.69565,0.00015472,0.00015472,0.00015472
4,74.2933,0.41878,3.06957,0.80883,0.82513,1,0.995,0.92029,0.32859,3.69169,0.6836,0.00020911,0.00020911,0.00020911
5,92.1614,0.4677,2.65597,0.87122,0.93858,1,0.995,0.91529,0.44,3.38309,0.72429,0.00026152,0.00026152,0.00026152
6,109.945,0.56218,1.89218,0.91791,0.97219,0.9,0.97833,0.91337,0.44028,4.26892,0.73462,0.00031195,0.00031195,0.00031195
7,127.765,0.5152,1.37293,0.87707,0.98848,1,0.995,0.8955,0.52101,10.0413,0.77622,0.0003604,0.0003604,0.0003604
8,145.526,0.54752,1.72649,0.96207,0.9841,1,0.995,0.85622,0.53513,12.5366,0.79479,0.00040687,0.00040687,0.00040687
9,163.177,0.54669,1.32344,0.90163,0.9337,0.8,0.92848,0.84001,0.51617,3.0063,0.7562,0.00045136,0.00045136,0.00045136
10,180.824,0.41118,1.00719,0.85605,0.88458,0.9,0.92064,0.83835,0.46848,3.12565,0.7262,0.00049387,0.00049387,0.00049387
11,198.563,0.49267,1.1626,0.93721,0.84695,0.9,0.89643,0.78815,0.54035,2.82735,0.70742,0.0005344,0.0005344,0.0005344
12,216.22,0.61717,1.01853,0.89929,0.85421,1,0.96773,0.86006,0.61719,3.01756,0.71407,0.00057295,0.00057295,0.00057295
13,233.958,0.47204,1.06307,0.72083,0.97569,1,0.995,0.86109,0.58298,2.47446,0.72829,0.00060952,0.00060952,0.00060952
14,251.72,0.35539,4.88253,0.60501,0.90216,1,0.96773,0.85845,0.58817,1.64441,0.77175,0.00064411,0.00064411,0.00064411
15,269.388,0.59542,0.93809,0.89948,0.8252,1,0.995,0.85705,0.60455,1.7879,0.94379,0.00067672,0.00067672,0.00067672
16,286.971,0.63504,0.98854,0.90276,0.90886,0.9,0.97833,0.82771,0.60335,1.7542,0.79382,0.00070735,0.00070735,0.00070735
17,304.902,0.52113,0.84187,0.85433,0.85387,1,0.97682,0.76572,0.82719,1.45195,0.85553,0.000736,0.000736,0.000736
18,322.656,0.65531,1.57754,0.88801,0.88595,1,0.93136,0.74903,0.78046,1.32804,0.85937,0.00076267,0.00076267,0.00076267
19,340.317,0.61487,0.82397,0.89663,0.73375,0.82849,0.88111,0.73796,0.69767,2.48649,0.83263,0.00078736,0.00078736,0.00078736
20,358.082,0.60873,0.94282,0.87895,0.87806,0.72206,0.95833,0.74852,0.7031,4.24459,0.82312,0.00081007,0.00081007,0.00081007
21,375.846,0.41996,2.41498,0.60753,0.79899,0.79546,0.90496,0.70322,0.75722,4.32958,0.85747,0.0008308,0.0008308,0.0008308
22,393.446,0.52654,0.80552,0.85588,0.41464,1,0.93763,0.75218,0.74854,5.46611,0.85121,0.00084955,0.00084955,0.00084955
23,411.139,0.52692,0.63785,0.84971,0.30578,1,0.81474,0.64777,0.77823,7.14521,0.87126,0.00086632,0.00086632,0.00086632
24,429.065,0.46635,0.58958,0.90963,0.30124,1,0.50132,0.40767,0.73447,4.99303,0.84131,0.00088111,0.00088111,0.00088111
25,446.884,0.48451,0.62852,0.87608,0.74229,1,0.92577,0.81758,0.70394,2.79048,0.84329,0.00089392,0.00089392,0.00089392
26,464.575,0.5139,0.67067,0.87378,0.71248,0.99178,0.93006,0.83671,0.6187,2.48676,0.80997,0.00090475,0.00090475,0.00090475
27,482.444,0.50908,0.64538,0.88439,0.90837,0.99202,0.97682,0.79389,0.80477,4.91538,1.02458,0.0009136,0.0009136,0.0009136
28,500.155,0.52699,0.60757,0.88348,0.43566,0.9,0.89154,0.66543,1.0178,13.0327,1.13032,0.00092047,0.00092047,0.00092047
29,518.067,0.69154,0.75855,0.99572,0.43566,0.9,0.89154,0.66543,1.0178,13.0327,1.13032,0.00092536,0.00092536,0.00092536
30,536.137,0.49296,0.66906,0.87734,0.74239,0.9,0.8413,0.72924,0.71256,6.87297,0.81782,0.00092827,0.00092827,0.00092827
31,553.947,0.55128,0.59574,0.88557,0.57287,0.80505,0.84599,0.73557,0.65115,6.10775,0.82553,0.0009292,0.0009292,0.0009292
32,571.707,0.52373,0.55333,0.89525,0.70099,1,0.88071,0.74934,0.69858,6.99755,0.88195,0.00092815,0.00092815,0.00092815
33,589.354,0.47315,0.51635,0.80816,0.70099,1,0.88071,0.74934,0.69858,6.99755,0.88195,0.00092512,0.00092512,0.00092512
34,607.171,0.48421,0.52889,0.85349,0.61214,1,0.91738,0.78306,0.59629,4.81917,0.83525,0.000911,0.000911,0.000911
35,624.894,0.40775,0.46085,0.89714,0.70505,1,0.93152,0.78648,0.536,3.00275,0.76379,0.000878,0.000878,0.000878
36,642.631,0.61244,0.55194,0.846,0.6478,0.73775,0.86167,0.74123,0.6009,2.4118,0.78746,0.000845,0.000845,0.000845
37,660.5,0.33374,1.4843,0.58832,0.6478,0.73775,0.86167,0.74123,0.6009,2.4118,0.78746,0.000812,0.000812,0.000812
38,678.265,0.5312,0.91503,0.85993,0.91019,0.8,0.95374,0.81832,0.61276,1.45306,0.79388,0.000779,0.000779,0.000779
39,695.884,0.46468,0.51849,0.86243,0.96563,1,0.995,0.86441,0.57842,1.05059,0.78564,0.000746,0.000746,0.000746
40,713.694,0.44498,0.5153,0.8715,0.9813,1,0.995,0.8861,0.46846,0.75513,0.73837,0.000713,0.000713,0.000713
41,731.553,0.41622,0.47495,0.8556,0.9813,1,0.995,0.8861,0.46846,0.75513,0.73837,0.00068,0.00068,0.00068
42,749.133,0.39049,0.53522,0.83235,0.98214,1,0.995,0.93508,0.39003,0.5678,0.71754,0.000647,0.000647,0.000647
43,766.827,0.40356,0.43843,0.80219,0.98578,1,0.995,0.95919,0.4115,0.52784,0.71617,0.000614,0.000614,0.000614
44,784.491,0.35675,0.43844,0.81372,0.99291,1,0.995,0.92337,0.43686,0.46303,0.72018,0.000581,0.000581,0.000581
45,802.202,0.52545,0.5232,0.92394,0.99291,1,0.995,0.92337,0.43686,0.46303,0.72018,0.000548,0.000548,0.000548
46,820.16,0.43741,0.46223,0.8698,0.99123,1,0.995,0.93833,0.40024,0.44842,0.71988,0.000515,0.000515,0.000515
47,837.817,0.34412,0.4031,0.79584,0.99316,1,0.995,0.96971,0.34462,0.39207,0.7085,0.000482,0.000482,0.000482
48,855.44,0.3474,0.38426,0.80684,0.99393,1,0.995,0.93879,0.35063,0.39391,0.70539,0.000449,0.000449,0.000449
49,873.223,0.39254,0.42789,0.84516,0.99393,1,0.995,0.93879,0.35063,0.39391,0.70539,0.000416,0.000416,0.000416
50,890.698,0.36469,0.38784,0.80286,0.99433,1,0.995,0.93709,0.33632,0.38846,0.70017,0.000383,0.000383,0.000383
51,908.357,0.3307,0.38288,0.81299,0.9941,1,0.995,0.95588,0.32123,0.3928,0.6922,0.00035,0.00035,0.00035
52,926.408,0.29924,0.35763,0.77579,0.99383,1,0.995,0.97909,0.30699,0.40356,0.68372,0.000317,0.000317,0.000317
53,944.311,0.36937,0.44518,0.87808,0.99383,1,0.995,0.97909,0.30699,0.40356,0.68372,0.000284,0.000284,0.000284
54,962.412,0.32991,0.36966,0.80845,0.99382,1,0.995,0.98011,0.28684,0.37,0.67963,0.000251,0.000251,0.000251
55,980.446,0.27759,0.35457,0.78329,0.99372,1,0.995,0.98014,0.27932,0.35013,0.68314,0.000218,0.000218,0.000218
56,998.466,0.35278,0.39688,0.84893,0.99328,1,0.995,0.98018,0.27093,0.34819,0.68308,0.000185,0.000185,0.000185
57,1016.63,0.29428,0.36122,0.77856,0.99328,1,0.995,0.98018,0.27093,0.34819,0.68308,0.000152,0.000152,0.000152
58,1034.76,0.2807,0.34925,0.78216,0.99315,1,0.995,0.9822,0.25456,0.3551,0.6802,0.000119,0.000119,0.000119
59,1052.79,0.25159,0.287,0.71693,0.99358,1,0.995,0.98324,0.24021,0.34078,0.67926,8.6e-05,8.6e-05,8.6e-05
60,1070.78,0.34304,0.45409,0.80832,0.99373,1,0.995,0.98325,0.23472,0.33513,0.67926,5.3e-05,5.3e-05,5.3e-05
