epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6991,0.57332,1.28357,0.97646,0.99624,0.94118,0.99222,0.95189,0.3019,0.32942,0.76641,6e-05,6e-05,6e-05
2,67.8292,0.45153,0.88946,0.88492,0.99567,1,0.995,0.98946,0.31139,0.33387,0.77614,0.00013538,0.00013538,0.00013538
3,98.7206,0.4419,0.54674,0.88119,0.99634,1,0.995,0.97743,0.294,0.33058,0.77656,0.00020548,0.00020548,0.00020548
4,129.305,0.3628,0.46406,0.85038,0.99276,1,0.995,0.98838,0.27505,0.3826,0.76127,0.0002703,0.0002703,0.0002703
5,159.576,0.38914,0.51168,0.85383,0.99514,1,0.995,0.98972,0.25562,0.36716,0.74973,0.00032984,0.00032984,0.00032984
6,190.238,0.39895,0.46663,0.84798,0.99559,1,0.995,0.9183,0.31456,0.40306,0.767,0.0003841,0.0003841,0.0003841
7,220.878,0.4311,0.52008,0.87449,0.93486,1,0.98889,0.9065,0.36188,0.37101,0.77585,0.00043308,0.00043308,0.00043308
8,251.559,0.38479,0.44137,0.86548,0.9969,1,0.995,0.92679,0.33465,0.33226,0.76989,0.00047678,0.00047678,0.00047678
9,281.834,0.42514,0.46044,0.86045,1,0.99764,0.995,0.97359,0.32015,0.41026,0.7648,0.0005152,0.0005152,0.0005152
10,312.209,0.36373,0.44057,0.87177,1,0.87574,0.97248,0.95924,0.31402,0.6059,0.77422,0.00054834,0.00054834,0.00054834
11,342.583,0.37206,0.38529,0.84943,0.89303,0.98284,0.98621,0.94759,0.35783,0.44202,0.77737,0.0005762,0.0005762,0.0005762
12,372.962,0.429,0.37993,0.89056,0.8056,1,0.96894,0.94378,0.3186,0.48288,0.77273,0.00059878,0.00059878,0.00059878
13,403.565,0.43671,0.44106,0.84424,0.85931,0.52941,0.649,0.60754,0.69986,1.7361,0.97274,0.00061608,0.00061608,0.00061608
14,433.878,0.49933,0.4227,0.91441,1,0.34907,0.46922,0.392,1.22375,2.31107,1.21929,0.0006281,0.0006281,0.0006281
15,464.344,0.42232,0.39781,0.85941,0.95177,0.05882,0.06408,0.05802,2.88416,4.59932,2.06435,0.00063484,0.00063484,0.00063484
16,494.94,0.39648,0.40239,0.86156,0.63841,0.05882,0.06502,0.02986,3.43965,4.59937,2.42513,0.0006363,0.0006363,0.0006363
17,525.299,0.35862,0.38091,0.84386,0.06462,0.11765,0.01232,0.00816,3.20713,4.28372,2.49614,0.00063248,0.00063248,0.00063248
18,555.904,0.346,0.34919,0.85631,0.72261,0.29412,0.31565,0.26442,1.23875,2.6176,1.28384,0.00062338,0.00062338,0.00062338
19,586.414,0.32919,0.32932,0.85912,1,0.64649,0.71417,0.66232,0.4775,1.28109,0.89438,0.000609,0.000609,0.000609
20,616.916,0.33761,0.35175,0.83045,1,0.9147,0.97648,0.938,0.35128,1.12129,0.81227,0.00058934,0.00058934,0.00058934
21,648.102,0.36782,0.3289,0.78735,0.98662,1,0.995,0.9635,0.30684,0.52176,0.76773,0.0005644,0.0005644,0.0005644
22,678.503,0.33425,0.3341,0.76755,0.99636,1,0.995,0.97185,0.29102,0.31095,0.76356,0.00053418,0.00053418,0.00053418
23,709.007,0.32528,0.31264,0.80128,0.99649,1,0.995,0.96453,0.28062,0.30276,0.75871,0.00049868,0.00049868,0.00049868
24,739.614,0.30589,0.30081,0.81973,0.99638,1,0.995,0.97976,0.27666,0.31406,0.75967,0.0004579,0.0004579,0.0004579
25,769.859,0.32595,0.31505,0.77651,0.99648,1,0.995,0.98872,0.26031,0.32047,0.75944,0.00041184,0.00041184,0.00041184
26,799.976,0.32295,0.30549,0.79145,0.99663,1,0.995,0.995,0.23569,0.31329,0.75389,0.00035,0.00035,0.00035
27,830.307,0.26334,0.27462,0.80213,0.99679,1,0.995,0.995,0.23396,0.29785,0.75088,0.000284,0.000284,0.000284
28,860.712,0.24697,0.28723,0.78736,0.99683,1,0.995,0.98327,0.23478,0.28433,0.75151,0.000218,0.000218,0.000218
29,891.224,0.25249,0.2695,0.7873,0.99686,1,0.995,0.98973,0.22325,0.26444,0.75202,0.000152,0.000152,0.000152
30,921.509,0.22978,0.25122,0.76856,0.99688,1,0.995,0.995,0.21135,0.25175,0.75362,8.6e-05,8.6e-05,8.6e-05
